mode_number,singular_value,energy_fraction,cumulative_energy
73,6.855212679713769e-10,2.6045871296821424e-23,1.0000000000000002
74,4.777720792363047e-10,1.2651399106046493e-23,1.0000000000000002
75,3.329073656499402e-10,6.14248114760871e-24,1.0000000000000002
76,2.3191428334218572e-10,2.9809316510088254e-24,1.0000000000000002
77,1.61521221613246e-10,1.4459597537771223e-24,1.0000000000000002
78,1.1246834660310269e-10,7.010639657595964e-25,1.0000000000000002
79,7.82935251950189e-11,3.3974159356683445e-25,1.0000000000000002
80,5.448975055937656e-11,1.6456090368033914e-25,1.0000000000000002
81,3.7913512070288263e-11,7.96682095833146e-26,1.0000000000000002
82,2.6373502907328563e-11,3.8550734456412975e-26,1.0000000000000002
83,1.8340463466231367e-11,1.8643078845101475e-26,1.0000000000000002
84,1.275180485348813e-11,9.01239752803629e-27,1.0000000000000002
85,8.862938930756578e-12,4.353640231026074e-27,1.0000000000000002
86,6.158544861247933e-12,2.1020993729236428e-27,1.0000000000000002
87,4.27860601421265e-12,1.0146157942251898e-27,1.0000000000000002
88,2.9714450875231653e-12,4.8936447817456e-28,1.0000000000000002
89,2.062958662191236e-12,2.358729155244801e-28,1.0000000000000002
90,1.4318452513026688e-12,1.1362900166303361e-28,1.0000000000000002
91,9.937335187479893e-13,5.473144340391125e-29,1.0000000000000002
92,6.893585678834766e-13,2.633827812526117e-29,1.0000000000000002
93,4.781640173962335e-13,1.2672164655857128e-29,1.0000000000000002
94,3.320099594829246e-13,6.109409660596861e-30,1.0000000000000002
95,2.298576915916636e-13,2.928296886366182e-30,1.0000000000000002
96,1.5934874543193026e-13,1.4073247359245293e-30,1.0000000000000002
97,1.1071184886767367e-13,6.793369403729289e-31,1.0000000000000002
98,7.632672924075259e-14,3.228868280954499e-31,1.0000000000000002
99,5.329039917756944e-14,1.5739646373840957e-31,1.0000000000000002
100,3.6938292997133314e-14,7.562243680054597e-32,1.0000000000000002
101,2.7634617115120523e-14,4.232567836248223e-32,1.0000000000000002
102,2.6390584234800874e-14,3.860068693837809e-32,1.0000000000000002
103,1.8677145689492662e-14,1.933383629258618e-32,1.0000000000000002
104,1.6358372952306434e-14,1.4831232214213706e-32,1.0000000000000002
105,1.3155270049389593e-14,9.591721476314011e-33,1.0000000000000002
106,9.95036420158977e-15,5.4875056195814855e-33,1.0000000000000002
107,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
108,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
109,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
110,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
111,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
112,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
113,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
114,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
115,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
116,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
117,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
118,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
119,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
120,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
121,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
122,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
123,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
124,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
125,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
126,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
127,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
128,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
129,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
130,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
131,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
132,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
133,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
134,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
135,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
136,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
137,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
138,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
139,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
140,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
141,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
142,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
143,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
144,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
145,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
146,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
147,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
148,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
149,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
150,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
151,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
152,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
153,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
154,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
155,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
156,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
157,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
158,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
159,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
160,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
161,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
162,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
163,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
164,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
165,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
166,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
167,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
168,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
169,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
