rank,relative_reconstruction_error,cumulative_svd_energy_at_rank,dt,X1_shape,X2_shape
2,0.5814694192667705,0.8360852579474367,0.06314759102693052,"[400, 199]","[400, 199]"
5,0.2507867013109745,0.9808574817113935,0.06314759102693052,"[400, 199]","[400, 199]"
10,0.03910770474545424,0.9992583591527701,0.06314759102693052,"[400, 199]","[400, 199]"
